scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,FullScore,page2,2,bar5,5,5,4,100,4,24,14400,600,15000,49,2,51,165,197,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,49
Ukodus,FullScore,page2,2,bar5,5,5,4,100,4,25,15000,600,15600,51,2,53,197,234,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,51
Ukodus,FullScore,page2,2,bar6,6,5,4,100,4,26,15600,600,16200,53,2,55,234,266,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,53
Ukodus,FullScore,page2,2,bar6,6,5,4,100,4,27,16200,600,16800,55,2,57,266,298,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,55
Ukodus,FullScore,page2,2,bar6,6,5,4,100,4,28,16800,600,17400,57,2,59,298,330,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,57
Ukodus,FullScore,page2,2,bar6,6,5,4,100,4,29,17400,600,18000,59,2,61,330,362,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,59
Ukodus,FullScore,page2,2,bar6,6,5,4,100,4,30,18000,600,18600,61,2,63,362,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,61
Ukodus,FullScore,page2,2,bar7,7,5,4,100,4,31,18600,600,19200,63,2,65,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,63
Ukodus,FullScore,page2,2,bar7,7,5,4,100,4,32,19200,600,19800,65,2,67,431,463,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,65
Ukodus,FullScore,page2,2,bar7,7,5,4,100,4,33,19800,600,20400,67,2,69,463,495,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,67
Ukodus,FullScore,page2,2,bar7,7,5,4,100,4,34,20400,600,21000,69,2,71,495,527,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,69
Ukodus,FullScore,page2,2,bar7,7,5,4,100,4,35,21000,600,21600,71,2,73,527,564,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,71
